InvoiceID,Date,Branch,City,Category,Product,Unit Price,Quantity,CustomerType,PaymentMethod,Rating,Sales
INV-1044,2024-06-19,B,Delhi,Household,Floor Cleaner,246.73,10.0,Member,Cash,3.5,2467.3
INV-1045,2024-04-03,B,Delhi,Beverages,Cheese,177.03,7.0,Normal,Card,4.3,1239.21
INV-1046,2024-01-22,B,Delhi,Personal Care,Toothpaste,85.92,8.0,Member,Cash,4.6,687.36
INV-1047,2024-02-26,C,Mumbai,Snacks,Biscuits,148.81,4.0,Member,UPI,3.9,595.24
INV-1048,2024-03-09,A,Kanpur,Personal Care,Shampoo,181.37,8.0,Normal,Cash,3.4,1450.96
INV-1049,2024-06-07,C,Mumbai,Fruits & Vegetables,Bananas,137.3,4.0,Normal,UPI,5.0,549.2
INV-1050,2024-01-03,A,Kanpur,Fruits & Vegetables,Onions,87.04,6.0,Member,Card,3.1,522.24
INV-1051,2024-01-08,B,Delhi,Bakery,White Bread,139.81,4.0,Normal,UPI,2.4,559.24
INV-1052,2024-06-28,A,Kanpur,Household,Floor Cleaner,67.67,7.0,Normal,Cash,4.5,473.69
INV-1053,2024-06-12,C,Mumbai,Beverages,Orange Juice,50.02,3.0,Member,Card,4.4,150.06
INV-1054,2024-02-12,A,Kanpur,Beverages,Cheese,201.22,10.0,Normal,UPI,4.5,2012.2
INV-1055,2024-04-07,C,Mumbai,Household,Floor Cleaner,272.32,7.0,Member,UPI,3.9,1906.24
INV-1056,2024-02-04,C,Mumbai,Household,Tissue Paper,93.23,1.0,Member,Cash,5.0,93.23
INV-1057,2024-05-18,B,Delhi,Beverages,Cheese,46.96,8.0,Normal,UPI,3.6,375.68
INV-1058,2024-04-13,C,Mumbai,Bakery,White Bread,140.9,9.0,Member,Card,3.8,1268.1
INV-1059,2024-06-13,B,Delhi,Snacks,Namkeen,132.87,7.0,Member,Cash,4.2,930.09
INV-1060,2024-02-24,A,Kanpur,Beverages,Cola,64.49,1.0,Member,Cash,4.0,64.49
INV-1061,2024-03-26,B,Delhi,Bakery,Cookies,98.54,3.0,Member,UPI,3.8,295.62
INV-1062,2024-05-06,A,Kanpur,Fruits & Vegetables,Tomatoes,74.41,6.0,Normal,Cash,4.4,446.46
INV-1063,2024-01-24,C,Mumbai,Fruits & Vegetables,Bananas,89.13,5.0,Normal,Card,4.1,445.65
INV-1064,2024-02-26,B,Delhi,Fruits & Vegetables,Potatoes,98.99,3.0,Normal,Cash,4.4,296.97
INV-1065,2024-01-12,A,Kanpur,Household,Floor Cleaner,112.96,1.0,Member,UPI,4.6,112.96
INV-1066,2024-03-08,A,Kanpur,Household,Tissue Paper,262.7,5.0,Member,Cash,2.9,1313.5
INV-1067,2024-05-15,B,Delhi,Personal Care,Shampoo,281.63,10.0,Member,Cash,2.9,2816.3
INV-1068,2024-01-30,C,Mumbai,Beverages,Cola,60.33,5.0,Member,Card,5.0,301.65
INV-1069,2024-05-30,B,Delhi,Household,Floor Cleaner,76.81,10.0,Member,UPI,5.0,768.1
INV-1070,2024-02-02,B,Delhi,Fruits & Vegetables,Onions,30.82,4.0,Normal,UPI,2.9,123.28
INV-1071,2024-06-02,A,Kanpur,Fruits & Vegetables,Potatoes,66.8,6.0,Member,UPI,3.4,400.8
INV-1072,2024-03-06,C,Mumbai,Snacks,Biscuits,118.1,8.0,Normal,UPI,4.3,944.8
INV-1073,2024-03-10,B,Delhi,Household,Tissue Paper,171.25,9.0,Normal,Cash,,1541.25
INV-1074,2024-03-12,B,Delhi,Fruits & Vegetables,Apples,26.02,1.0,Normal,Cash,3.5,26.02
INV-1075,2024-04-11,B,Delhi,Beverages,Orange Juice,168.39,1.0,Member,UPI,3.0,168.39
INV-1076,2024-06-25,A,Kanpur,Snacks,Potato Chips,96.05,8.0,Normal,Cash,3.8,768.4
INV-1077,2024-04-26,C,Mumbai,Snacks,Namkeen,134.33,10.0,Member,Card,3.2,1343.3
INV-1078,2024-05-12,C,Mumbai,Personal Care,Soap,377.57,9.0,Normal,UPI,2.8,3398.13
INV-1079,2024-01-14,A,Kanpur,Household,Floor Cleaner,296.24,5.0,Member,Card,4.4,1481.2
INV-1080,2024-06-15,A,Kanpur,Fruits & Vegetables,Onions,99.22,3.0,Normal,UPI,2.8,297.66
INV-1081,2024-03-11,A,Kanpur,Beverages,Coffee Powder,134.12,7.0,Normal,Card,3.1,938.84
INV-1082,2024-06-03,A,Kanpur,Dairy,Ghee,166.82,3.0,Member,Cash,3.6,500.46
INV-1083,2024-05-20,A,Kanpur,Bakery,Muffin,108.95,9.0,Member,Card,5.0,980.55
INV-1084,2024-02-19,A,Kanpur,Fruits & Vegetables,Potatoes,56.68,2.0,Normal,UPI,4.4,113.36
INV-1085,2024-01-22,B,Delhi,Snacks,Chocolate Bar,139.85,9.0,Member,UPI,3.9,1258.65
INV-1086,2024-06-13,C,Mumbai,Snacks,Chocolate Bar,101.38,5.0,Normal,UPI,5.0,506.9
INV-1087,2024-06-08,A,Kanpur,Dairy,Yogurt,129.72,1.0,Normal,UPI,3.8,129.72
INV-1088,2024-02-12,C,Mumbai,Fruits & Vegetables,Potatoes,53.16,4.0,Member,Card,3.6,212.64
INV-1089,2024-01-11,C,Mumbai,Fruits & Vegetables,Onions,50.44,7.0,Member,UPI,5.0,353.08
INV-1090,2024-06-28,C,Mumbai,Household,Tissue Paper,172.68,10.0,Normal,Card,3.6,1726.8
INV-1091,2024-01-26,C,Mumbai,Beverages,Orange Juice,41.67,6.0,Normal,Cash,3.8,250.02
INV-1092,2024-03-22,C,Mumbai,Beverages,Cheese,41.19,10.0,Normal,UPI,3.8,411.9
INV-1093,2024-02-11,A,Kanpur,Bakery,Muffin,112.27,1.0,Member,UPI,3.8,112.27
INV-1094,2024-01-01,A,Kanpur,Beverages,Cola,158.04,2.0,Normal,Cash,2.9,316.08
INV-1095,2024-06-04,B,Delhi,Household,Detergent,107.69,9.0,Member,UPI,2.9,969.21
INV-1096,2024-01-09,A,Kanpur,Dairy,Paneer,234.68,5.0,Member,Cash,4.0,1173.4
INV-1097,2024-03-26,A,Kanpur,Beverages,Cheese,31.69,10.0,Member,UPI,2.4,316.9
INV-1098,2024-01-01,B,Delhi,Fruits & Vegetables,Apples,104.19,5.0,Normal,Cash,4.4,520.95
INV-1099,2024-05-12,C,Mumbai,Household,Detergent,311.85,3.0,Normal,Card,4.8,935.55
INV-1100,2024-02-08,B,Delhi,Household,Floor Cleaner,196.19,3.0,Member,UPI,4.4,588.57
INV-1101,2024-05-28,A,Kanpur,Bakery,Brown Bread,45.69,1.0,Normal,Cash,5.0,45.69
INV-1102,2024-05-04,C,Mumbai,Fruits & Vegetables,Apples,30.25,7.0,Member,Cash,3.1,211.75
INV-1103,2024-03-15,A,Kanpur,Beverages,Mineral Water,113.54,10.0,Member,Card,4.0,1135.4
INV-1104,2024-02-23,C,Mumbai,Dairy,Yogurt,46.83,2.0,Normal,Card,3.9,93.66
INV-1105,2024-05-15,B,Delhi,Dairy,Ghee,85.81,9.0,Normal,Cash,4.2,772.29
INV-1106,2024-03-16,C,Mumbai,Fruits & Vegetables,Onions,113.32,2.0,Normal,UPI,3.6,226.64
INV-1107,2024-03-05,B,Delhi,Bakery,Cookies,136.21,1.0,Member,Cash,4.2,136.21
INV-1108,2024-06-13,A,Kanpur,Beverages,Coffee Powder,157.44,10.0,Member,Cash,2.7,1574.4
INV-1109,2024-05-20,C,Mumbai,Bakery,Croissant,136.5,6.0,Normal,Cash,3.2,819.0
INV-1110,2024-05-13,C,Mumbai,Household,Floor Cleaner,71.28,5.0,Member,Card,4.0,356.4
INV-1111,2024-04-13,C,Mumbai,Personal Care,Soap,166.33,4.0,Normal,UPI,4.7,665.32
INV-1112,2024-03-11,B,Delhi,Beverages,Coffee Powder,80.35,4.0,Member,UPI,4.3,321.4
INV-1113,2024-03-27,B,Delhi,Personal Care,Soap,79.68,3.0,Normal,Card,3.5,239.04
INV-1114,2024-02-16,A,Kanpur,Fruits & Vegetables,Apples,64.18,5.0,Member,Cash,4.5,320.9
INV-1115,2024-01-19,C,Mumbai,Fruits & Vegetables,Potatoes,45.42,2.0,Normal,Card,4.1,90.84
INV-1116,2024-02-24,C,Mumbai,Personal Care,Face Wash,76.61,10.0,Normal,UPI,2.8,766.1
INV-1117,2024-04-04,B,Delhi,Fruits & Vegetables,Tomatoes,41.59,2.0,Member,Card,3.5,83.18
INV-1118,2024-05-16,A,Kanpur,Bakery,Muffin,75.61,2.0,Normal,UPI,3.6,151.22
INV-1119,2024-01-12,A,Kanpur,Personal Care,Soap,129.36,2.0,Normal,UPI,4.3,258.72
INV-1120,2024-06-06,A,Kanpur,Snacks,Chocolate Bar,122.16,6.0,Member,Cash,4.9,732.96
INV-1121,2024-03-11,A,Kanpur,Beverages,Cheese,277.31,10.0,Normal,Cash,3.9,2773.1
INV-1122,2024-06-20,B,Delhi,Beverages,Mineral Water,40.11,2.0,Normal,Card,4.2,80.22
INV-1123,2024-06-13,B,Delhi,Dairy,Milk 1L,36.61,3.0,Member,Card,4.6,109.83
INV-1124,2024-02-03,B,Delhi,Bakery,Muffin,91.49,7.0,Normal,Card,1.4,640.43
INV-1125,2024-04-28,B,Delhi,Beverages,Green Tea,74.62,10.0,Member,UPI,3.7,746.2
INV-1126,2024-03-19,C,Mumbai,Household,Tissue Paper,113.04,6.0,Normal,UPI,3.0,678.24
INV-1127,2024-01-28,A,Kanpur,Beverages,Cola,40.64,5.0,Member,Cash,4.1,203.2
INV-1128,2024-04-28,B,Delhi,Snacks,Popcorn,75.33,4.0,Normal,Cash,4.3,301.32
INV-1129,2024-05-15,B,Delhi,Beverages,Cheese,220.01,8.0,Member,Card,3.8,1760.08
INV-1130,2024-05-12,B,Delhi,Personal Care,Soap,159.9,8.0,Member,Cash,4.5,1279.2
INV-1131,2024-02-16,B,Delhi,Personal Care,Toothpaste,244.12,5.0,Member,UPI,4.4,1220.6
INV-1132,2024-04-29,A,Kanpur,Snacks,Potato Chips,98.66,8.0,Member,UPI,5.0,789.28
INV-1133,2024-02-20,C,Mumbai,Household,Floor Cleaner,228.47,3.0,Member,UPI,4.4,685.41
INV-1134,2024-06-20,C,Mumbai,Dairy,Paneer,172.43,8.0,Normal,UPI,4.0,1379.44
INV-1135,2024-06-22,B,Delhi,Personal Care,Soap,255.63,4.0,Member,UPI,4.0,1022.52
INV-1136,2024-02-27,B,Delhi,Personal Care,Soap,306.2,4.0,Normal,Cash,4.1,1224.8
INV-1137,2024-06-28,B,Delhi,Dairy,Yogurt,233.25,10.0,Normal,Card,3.1,2332.5
INV-1138,2024-04-26,C,Mumbai,Fruits & Vegetables,Onions,68.34,7.0,Member,UPI,4.3,478.38
INV-1139,2024-03-22,B,Delhi,Dairy,Paneer,219.33,9.0,Member,UPI,3.2,1973.97
INV-1140,2024-03-11,C,Mumbai,Beverages,Green Tea,153.58,2.0,Normal,UPI,4.1,307.16
INV-1141,2024-02-14,B,Delhi,Fruits & Vegetables,Potatoes,117.99,10.0,Member,UPI,4.3,1179.9
INV-1142,2024-02-01,C,Mumbai,Snacks,Namkeen,39.26,6.0,Member,Cash,4.0,235.56
INV-1143,2024-02-27,C,Mumbai,Snacks,Potato Chips,157.77,10.0,Member,Card,4.7,1577.7
INV-1144,2024-05-01,B,Delhi,Bakery,Brown Bread,31.43,4.0,Member,Card,3.0,125.72
INV-1145,2024-04-12,C,Mumbai,Bakery,Brown Bread,138.79,4.0,Normal,Card,4.1,555.16
INV-1146,2024-01-13,A,Kanpur,Beverages,Coffee Powder,105.41,3.0,Member,UPI,3.5,316.23
INV-1147,2024-04-09,C,Mumbai,Beverages,Cola,163.11,7.0,Member,Card,3.4,1141.77
INV-1148,2024-02-16,C,Mumbai,Beverages,Mineral Water,96.47,6.0,Normal,Cash,4.0,578.82
INV-1149,2024-03-01,B,Delhi,Bakery,Croissant,51.05,3.0,Normal,UPI,4.3,153.15
INV-1150,2024-06-27,A,Kanpur,Household,Dish Soap,143.61,7.0,Member,Cash,4.5,1005.27
INV-1151,2024-06-19,B,Delhi,Household,Floor Cleaner,266.94,10.0,Member,UPI,3.7,2669.4
INV-1152,2024-05-07,C,Mumbai,Fruits & Vegetables,Apples,85.55,4.0,Member,UPI,3.2,342.2
INV-1153,2024-05-15,B,Delhi,Dairy,Butter,196.74,5.0,Normal,Cash,4.1,983.7
INV-1154,2024-05-01,B,Delhi,Dairy,Butter,154.1,7.0,Member,UPI,3.0,1078.7
INV-1155,2024-03-02,C,Mumbai,Snacks,Biscuits,142.11,2.0,Normal,Card,4.5,284.22
INV-1156,2024-02-08,B,Delhi,Beverages,Orange Juice,128.72,1.0,Member,UPI,3.6,128.72
INV-1157,2024-03-02,A,Kanpur,Beverages,Mineral Water,71.26,9.0,Member,UPI,5.0,641.34
INV-1158,2024-06-16,B,Delhi,Dairy,Butter,225.44,1.0,Member,UPI,2.7,225.44
INV-1159,2024-03-20,B,Delhi,Beverages,Orange Juice,140.68,9.0,Normal,Cash,4.5,1266.12
INV-1160,2024-04-13,B,Delhi,Dairy,Milk 1L,238.7,1.0,Normal,UPI,3.2,238.7
INV-1161,2024-04-27,B,Delhi,Fruits & Vegetables,Apples,54.98,10.0,Member,Cash,4.0,549.8
INV-1162,2024-04-16,A,Kanpur,Beverages,Orange Juice,158.58,1.0,Member,UPI,4.7,158.58
INV-1163,2024-02-22,C,Mumbai,Personal Care,Face Wash,184.09,10.0,Member,Cash,3.4,1840.9
INV-1164,2024-03-09,B,Delhi,Dairy,Paneer,106.06,1.0,Member,UPI,4.7,106.06
INV-1165,2024-02-02,B,Delhi,Dairy,Paneer,196.22,6.0,Member,Card,4.5,1177.32
INV-1166,2024-06-15,C,Mumbai,Beverages,Mineral Water,189.93,2.0,Normal,UPI,3.6,379.86
INV-1167,2024-04-12,C,Mumbai,Fruits & Vegetables,Bananas,109.61,1.0,Normal,Cash,4.0,109.61
INV-1168,2024-04-11,B,Delhi,Household,Floor Cleaner,137.0,9.0,Member,UPI,3.7,1233.0
INV-1169,2024-06-22,B,Delhi,Fruits & Vegetables,Apples,116.18,10.0,Normal,UPI,3.3,1161.8
INV-1170,2024-03-27,B,Delhi,Beverages,Coffee Powder,149.75,6.0,Normal,Card,3.3,898.5
INV-1171,2024-05-07,B,Delhi,Bakery,White Bread,39.8,5.0,Normal,Card,4.3,199.0
INV-1172,2024-05-04,C,Mumbai,Beverages,Orange Juice,115.62,5.0,Member,Cash,4.0,578.1
INV-1173,2024-03-29,B,Delhi,Beverages,Mineral Water,103.56,5.0,Member,UPI,4.5,517.8
INV-1174,2024-05-25,A,Kanpur,Personal Care,Toothpaste,171.5,3.0,Normal,UPI,4.5,514.5
INV-1175,2024-04-28,C,Mumbai,Snacks,Namkeen,75.7,5.0,Normal,Card,5.0,378.5
INV-1176,2024-06-17,C,Mumbai,Dairy,Milk 1L,241.64,4.0,Normal,UPI,4.5,966.56
INV-1177,2024-01-31,C,Mumbai,Beverages,Green Tea,189.02,6.0,Member,Cash,4.6,1134.12
INV-1178,2024-06-22,B,Delhi,Beverages,Coffee Powder,65.77,2.0,Member,Card,4.7,131.54
INV-1179,2024-06-22,C,Mumbai,Personal Care,Soap,356.0,9.0,Normal,Cash,4.1,3204.0
INV-1180,2024-03-10,C,Mumbai,Snacks,Popcorn,87.18,9.0,Member,UPI,4.9,784.62
INV-1181,2024-06-03,A,Kanpur,Household,Tissue Paper,281.98,5.0,Normal,UPI,4.3,1409.9
INV-1182,2024-06-24,C,Mumbai,Dairy,Butter,170.79,9.0,Member,UPI,3.8,1537.11
INV-1183,2024-06-04,A,Kanpur,Beverages,Cheese,268.06,7.0,Normal,UPI,3.7,1876.42
INV-1184,2024-02-10,C,Mumbai,Personal Care,Soap,164.19,5.0,Member,Card,4.0,820.95
INV-1185,2024-05-18,C,Mumbai,Fruits & Vegetables,Tomatoes,55.88,2.0,Normal,Cash,4.6,111.76
INV-1186,2024-01-20,A,Kanpur,Personal Care,Soap,106.37,9.0,Normal,Cash,3.9,957.33
INV-1187,2024-02-13,B,Delhi,Personal Care,Shampoo,193.38,5.0,Member,UPI,3.0,966.9
INV-1188,2024-06-10,C,Mumbai,Beverages,Orange Juice,198.32,5.0,Normal,UPI,4.3,991.6
INV-1189,2024-05-20,C,Mumbai,Household,Floor Cleaner,242.59,5.0,Normal,UPI,4.2,1212.95
INV-1190,2024-04-01,C,Mumbai,Bakery,Muffin,91.57,4.0,Normal,Cash,3.0,366.28
INV-1191,2024-01-18,C,Mumbai,Beverages,Cola,139.79,2.0,Normal,UPI,5.0,279.58
INV-1192,2024-04-05,A,Kanpur,Beverages,Coffee Powder,66.61,4.0,Normal,Card,4.5,266.44
INV-1193,2024-05-07,A,Kanpur,Bakery,Muffin,43.43,5.0,Member,UPI,4.0,217.15
INV-1194,2024-05-14,C,Mumbai,Beverages,Mineral Water,113.21,6.0,Normal,Cash,3.6,679.26
INV-1195,2024-02-01,A,Kanpur,Bakery,White Bread,83.44,2.0,Member,UPI,4.0,166.88
INV-1196,2024-02-24,A,Kanpur,Beverages,Orange Juice,90.21,8.0,Member,UPI,4.1,721.68
INV-1197,2024-03-31,C,Mumbai,Fruits & Vegetables,Onions,127.24,7.0,Normal,Card,3.9,890.68
INV-1198,2024-03-26,B,Delhi,Beverages,Green Tea,22.53,6.0,Normal,UPI,4.2,135.18
INV-1199,2024-04-30,B,Delhi,Household,Floor Cleaner,98.55,2.0,Normal,Card,3.3,197.1
INV-1200,2024-04-19,C,Mumbai,Dairy,Ghee,129.05,9.0,Normal,UPI,3.4,1161.45
INV-1201,2024-01-01,A,Kanpur,Beverages,Orange Juice,29.27,2.0,Normal,UPI,3.0,58.54
INV-1202,2024-02-17,A,Kanpur,Beverages,Green Tea,149.92,10.0,Normal,UPI,3.4,1499.2
INV-1203,2024-05-19,C,Mumbai,Dairy,Ghee,263.91,3.0,Member,Cash,4.0,791.73
INV-1204,2024-01-01,C,Mumbai,Bakery,Muffin,139.99,7.0,Normal,Card,4.2,979.93
INV-1205,2024-02-12,A,Kanpur,Fruits & Vegetables,Onions,24.35,9.0,Member,Card,2.3,219.15
INV-1206,2024-06-04,A,Kanpur,Bakery,White Bread,84.93,8.0,Normal,Cash,4.3,679.44
INV-1207,2024-03-15,B,Delhi,Bakery,Brown Bread,55.73,10.0,Normal,Card,4.8,557.3
INV-1208,2024-02-22,A,Kanpur,Beverages,Cola,94.21,3.0,Normal,Card,3.7,282.63
INV-1209,2024-03-13,A,Kanpur,Dairy,Milk 1L,59.71,3.0,Normal,UPI,5.0,179.13
INV-1210,2024-04-25,B,Delhi,Beverages,Coffee Powder,45.91,8.0,Normal,UPI,4.1,367.28
INV-1211,2024-04-18,C,Mumbai,Household,Dish Soap,62.71,3.0,Member,Cash,4.1,188.13
INV-1212,2024-06-06,C,Mumbai,Personal Care,Shampoo,299.71,1.0,Normal,Card,4.3,299.71
INV-1213,2024-05-29,C,Mumbai,Dairy,Yogurt,92.77,2.0,Normal,Cash,3.9,185.54
INV-1214,2024-04-04,C,Mumbai,Dairy,Paneer,221.17,3.0,Member,Card,2.8,663.51
INV-1215,2024-04-17,C,Mumbai,Personal Care,Shampoo,178.3,10.0,Normal,Card,3.5,1783.0
INV-1216,2024-06-25,C,Mumbai,Dairy,Yogurt,225.15,7.0,Normal,UPI,3.8,1576.05
INV-1217,2024-02-27,B,Delhi,Fruits & Vegetables,Apples,102.11,7.0,Member,UPI,3.3,714.77
INV-1218,2024-06-04,B,Delhi,Beverages,Mineral Water,75.72,9.0,Member,UPI,4.6,681.48
INV-1219,2024-04-08,A,Kanpur,Snacks,Chocolate Bar,123.99,3.0,Normal,Card,3.1,371.97
INV-1220,2024-06-21,C,Mumbai,Dairy,Yogurt,85.13,4.0,Normal,Cash,2.4,340.52
INV-1221,2024-01-11,B,Delhi,Fruits & Vegetables,Bananas,82.25,5.0,Member,Card,3.6,411.25
INV-1222,2024-06-11,B,Delhi,Beverages,Cola,175.58,2.0,Normal,UPI,4.4,351.16
INV-1223,2024-04-05,A,Kanpur,Beverages,Orange Juice,31.41,2.0,Normal,UPI,4.1,62.82
INV-1224,2024-06-07,B,Delhi,Household,Floor Cleaner,204.04,5.0,Normal,Cash,3.0,1020.2
INV-1225,2024-05-15,B,Delhi,Bakery,White Bread,46.21,5.0,Normal,UPI,3.7,231.05
INV-1226,2024-01-14,C,Mumbai,Dairy,Butter,213.22,9.0,Normal,UPI,4.6,1918.98
INV-1227,2024-01-28,C,Mumbai,Personal Care,Shampoo,241.28,3.0,Normal,Cash,5.0,723.84
INV-1228,2024-05-02,A,Kanpur,Snacks,Biscuits,100.97,6.0,Member,Cash,3.9,605.82
INV-1229,2024-01-07,A,Kanpur,Dairy,Butter,193.44,5.0,Member,Card,3.7,967.2
INV-1230,2024-06-16,B,Delhi,Fruits & Vegetables,Onions,80.07,8.0,Normal,Cash,3.2,640.56
INV-1231,2024-04-02,C,Mumbai,Beverages,Cola,115.32,6.0,Normal,Cash,4.8,691.92
INV-1232,2024-01-01,A,Kanpur,Dairy,Yogurt,50.94,6.0,Member,Card,2.7,305.64
INV-1233,2024-03-12,A,Kanpur,Fruits & Vegetables,Potatoes,113.81,2.0,Member,Cash,4.3,227.62
INV-1234,2024-06-12,B,Delhi,Snacks,Biscuits,47.68,3.0,Normal,Card,4.7,143.04
INV-1235,2024-01-20,C,Mumbai,Dairy,Paneer,92.71,3.0,Normal,Card,4.6,278.13
INV-1236,2024-04-05,C,Mumbai,Household,Tissue Paper,305.33,4.0,Normal,UPI,4.6,1221.32
INV-1237,2024-02-01,C,Mumbai,Personal Care,Face Wash,315.69,10.0,Member,Cash,4.4,3156.9
INV-1238,2024-02-29,C,Mumbai,Bakery,Croissant,130.52,5.0,Member,UPI,2.9,652.6
INV-1239,2024-02-15,B,Delhi,Dairy,Milk 1L,151.88,8.0,Member,UPI,3.5,1215.04
INV-1240,2024-04-14,A,Kanpur,Beverages,Mineral Water,28.79,10.0,Member,Card,4.3,287.9
INV-1241,2024-04-08,B,Delhi,Bakery,Muffin,33.97,5.0,Normal,Card,4.1,169.85
INV-1242,2024-04-28,C,Mumbai,Fruits & Vegetables,Bananas,33.22,9.0,Normal,Cash,3.2,298.98
INV-1243,2024-03-27,B,Delhi,Dairy,Ghee,109.13,5.0,Member,UPI,5.0,545.65
INV-1244,2024-04-19,A,Kanpur,Bakery,Muffin,105.5,3.0,Normal,Card,4.4,316.5
INV-1245,2024-01-30,A,Kanpur,Fruits & Vegetables,Onions,40.78,7.0,Member,UPI,2.9,285.46
INV-1246,2024-02-06,A,Kanpur,Household,Detergent,280.68,5.0,Normal,UPI,4.4,1403.4
INV-1247,2024-01-13,C,Mumbai,Beverages,Coffee Powder,207.8,8.0,Normal,Cash,4.4,1662.4
INV-1248,2024-04-12,B,Delhi,Fruits & Vegetables,Potatoes,58.81,7.0,Member,Card,3.2,411.67
